event_id,primary_classification,primary_score
22335981,personal,0.86075
22336485,birthday_celebration,0.865962
22338538,personal,0.425822
22338826,personal,0.683492
22341075,organizations,0.463565
22341401,personal,0.995977
22344559,personal,0.775186
22345059,birthday_celebration,0.916126
22346105,personal,0.87228
22347041,wedding_related,0.890903
22347077,birthday_celebration,0.999445
22347081,personal,0.968275
22348337,wedding_related,0.607555
22353094,birthday_celebration,0.932361
22358603,personal,0.501935
22359107,wedding_related,0.776772
22361700,personal,0.963792
22362132,personal,0.941563
22362349,wedding_related,0.329728
22364096,personal,0.36828
22374095,birthday_celebration,0.880798
22375861,personal,0.978061
22380720,wedding_related,0.512644
22385943,organizations,0.497144
22386556,birthday_celebration,0.94055
22387788,greetings,0.998293
22393115,birthday_celebration,0.996969
22395455,personal,0.743254
22396536,greetings,0.997007
22398161,other,0.900674
22401077,greetings,0.99575
22404209,organizations,0.927153
22407090,birthday_celebration,0.694437
22421359,birthday_celebration,0.990643
22423267,birthday_celebration,0.970383
22436608,greetings,0.916869
22444458,birthday_celebration,0.99715
22444710,personal,0.7991
22447283,wedding_related,0.422535
22449731,wedding_related,0.424802
22456282,wedding_related,0.450303
22467338,personal,0.436162
22468459,greetings,0.885564
22473821,greetings,0.909
22475429,personal,0.873318
22477180,greetings,0.979463
22477717,birthday_celebration,0.998706
22479050,personal,0.914727
22479751,wedding_related,0.773237
22480314,organizations,0.664902
22481498,personal,0.934153
22482470,personal,0.918309
22485115,birthday_celebration,0.999665
22489041,personal,0.926771
22503433,birthday_celebration,0.990256
22503937,personal,0.677888
22505971,birthday_celebration,0.852379
22505994,organizations,0.841556
22509846,greetings,0.968414
22524418,greetings,0.978697
22526779,personal,0.556573
22527395,birthday_celebration,0.878117
22528003,greetings,0.984225
22531622,personal,0.706327
22535659,birthday_celebration,0.992642
22536271,organizations,0.664902
22539553,wedding_related,0.982537
22545116,personal,0.89621
22546291,birthday_celebration,0.946474
22551728,wedding_related,0.692131
22552249,personal,0.279262
22556484,wedding_related,0.956446
22557326,organizations,0.591561
22557686,personal,0.591558
22557705,greetings,0.626196
22558118,organizations,0.664902
22559598,birthday_celebration,0.780746
22560147,greetings,0.99705
22561167,organizations,0.885201
22562267,organizations,0.944922
22562356,greetings,0.991566
22566486,personal,0.99593
22567707,organizations,0.904842
22568408,wedding_related,0.887516
22572569,birthday_celebration,0.992801
22575305,birthday_celebration,0.992801
22578977,birthday_celebration,0.992801
22582974,greetings,0.908709
22587948,greetings,0.761817
22591030,birthday_celebration,0.890066
22593248,birthday_celebration,0.908373
22595953,birthday_celebration,0.880554
22597092,birthday_celebration,0.991657
22600185,wedding_related,0.948882
22601103,greetings,0.835825
22603896,greetings,0.900244
22605723,organizations,0.664902
22609688,birthday_celebration,0.821824
22609904,greetings,0.914809
22618047,birthday_celebration,0.992643
22620639,birthday_celebration,0.959089
